name,source_path,target_path,file_type,precheck_result,name_conflict,status,notes
FEISHU_CONFIGURATION_SUMMARY.md,C:\Users\Administrator\FEISHU_CONFIGURATION_SUMMARY.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_CONFIGURATION_SUMMARY.md,markdown,approved,none,待执行,
FEISHU_FEATURES_RESEARCH.md,C:\Users\Administrator\FEISHU_FEATURES_RESEARCH.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_FEATURES_RESEARCH.md,markdown,approved,none,待执行,
FEISHU_FILES_LIST.md,C:\Users\Administrator\FEISHU_FILES_LIST.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_FILES_LIST.md,markdown,approved,none,待执行,
FEISHU_IMPLEMENTATION_PLAN.md,C:\Users\Administrator\FEISHU_IMPLEMENTATION_PLAN.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_IMPLEMENTATION_PLAN.md,markdown,approved,none,待执行,88KB
FEISHU_INTEGRATION_ROADMAP.md,C:\Users\Administrator\FEISHU_INTEGRATION_ROADMAP.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_INTEGRATION_ROADMAP.md,markdown,approved,none,待执行,
FEISHU_P0_FIXES.md,C:\Users\Administrator\FEISHU_P0_FIXES.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_P0_FIXES.md,markdown,approved,none,待执行,
FEISHU_P0_REVIEW_FINAL.md,C:\Users\Administrator\FEISHU_P0_REVIEW_FINAL.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_P0_REVIEW_FINAL.md,markdown,approved,none,待执行,
FEISHU_PHASE0_PRETASKS.md,C:\Users\Administrator\FEISHU_PHASE0_PRETASKS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_PHASE0_PRETASKS.md,markdown,approved,none,待执行,
FEISHU_PHASE0_PRETASKS_STATUS.md,C:\Users\Administrator\FEISHU_PHASE0_PRETASKS_STATUS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_PHASE0_PRETASKS_STATUS.md,markdown,approved,none,待执行,
FEISHU_PLAN_REVIEW_CC.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CC.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_PLAN_REVIEW_CC.md,markdown,approved,none,待执行,
FEISHU_PLAN_REVIEW_CC_ROUND2.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CC_ROUND2.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_PLAN_REVIEW_CC_ROUND2.md,markdown,approved,none,待执行,
FEISHU_PLAN_REVIEW_CODEX.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CODEX.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_PLAN_REVIEW_CODEX.md,markdown,approved,none,待执行,
FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,markdown,approved,none,待执行,
FEISHU_PLAN_REVIEW_FINAL.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_FINAL.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_PLAN_REVIEW_FINAL.md,markdown,approved,none,待执行,
FEISHU_ROUND3_ANSWERS.md,C:\Users\Administrator\FEISHU_ROUND3_ANSWERS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_ROUND3_ANSWERS.md,markdown,approved,none,待执行,
FEISHU_ROUND3_QUESTIONS.md,C:\Users\Administrator\FEISHU_ROUND3_QUESTIONS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_ROUND3_QUESTIONS.md,markdown,approved,none,待执行,
FEISHU_ROUND4_ANSWERS.md,C:\Users\Administrator\FEISHU_ROUND4_ANSWERS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_ROUND4_ANSWERS.md,markdown,approved,none,待执行,
FEISHU_SIMPLE_REPORT.md,C:\Users\Administrator\FEISHU_SIMPLE_REPORT.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_SIMPLE_REPORT.md,markdown,approved,none,待执行,
FEISHU_USER_REQUIREMENTS_ROUND2.md,C:\Users\Administrator\FEISHU_USER_REQUIREMENTS_ROUND2.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\FEISHU_USER_REQUIREMENTS_ROUND2.md,markdown,approved,none,待执行,
飞书配置完成报告.md,C:\Users\Administrator\飞书配置完成报告.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\飞书配置完成报告.md,markdown,approved,none,待执行,
video-automation-10-questions.md,C:\Users\Administrator\video-automation-10-questions.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\video-automation-10-questions.md,markdown,approved,none,待执行,
video-automation-round2-questions.md,C:\Users\Administrator\video-automation-round2-questions.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\video-automation-round2-questions.md,markdown,approved,none,待执行,
video-automation-round2-questions-v2.md,C:\Users\Administrator\video-automation-round2-questions-v2.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\video-automation-round2-questions-v2.md,markdown,approved,none,待执行,
video-automation-round3-questions.md,C:\Users\Administrator\video-automation-round3-questions.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\video-automation-round3-questions.md,markdown,approved,none,待执行,
video-automation-round4-questions.md,C:\Users\Administrator\video-automation-round4-questions.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\video-automation-round4-questions.md,markdown,approved,none,待执行,
video-automation-round4-questions-v2.md,C:\Users\Administrator\video-automation-round4-questions-v2.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\video-automation-round4-questions-v2.md,markdown,approved,none,待执行,
video-tools-test-report.md,C:\Users\Administrator\video-tools-test-report.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\video-tools-test-report.md,markdown,approved,none,待执行,
viral-video-replication-research.md,C:\Users\Administrator\viral-video-replication-research.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\viral-video-replication-research.md,markdown,approved,none,待执行,
ai-video-editing-research.md,C:\Users\Administrator\ai-video-editing-research.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\ai-video-editing-research.md,markdown,approved,none,待执行,
ai-video-editing-final-summary.md,C:\Users\Administrator\ai-video-editing-final-summary.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\ai-video-editing-final-summary.md,markdown,approved,none,待执行,
ai-video-editing-solution.md,C:\Users\Administrator\ai-video-editing-solution.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\ai-video-editing-solution.md,markdown,approved,none,待执行,
ai-models-for-video.md,C:\Users\Administrator\ai-models-for-video.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\ai-models-for-video.md,markdown,approved,none,待执行,
ai-vs-manual-editing-layman-guide.md,C:\Users\Administrator\ai-vs-manual-editing-layman-guide.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\ai-vs-manual-editing-layman-guide.md,markdown,approved,none,待执行,
adobe-bridge-tools-guide.md,C:\Users\Administrator\adobe-bridge-tools-guide.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\adobe-bridge-tools-guide.md,markdown,approved,none,待执行,
cc-codex-video-workflow.md,C:\Users\Administrator\cc-codex-video-workflow.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\cc-codex-video-workflow.md,markdown,approved,none,待执行,
deep-automation-tech-routes.md,C:\Users\Administrator\deep-automation-tech-routes.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\deep-automation-tech-routes.md,markdown,approved,none,待执行,
douyin-effects-guide.md,C:\Users\Administrator\douyin-effects-guide.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\douyin-effects-guide.md,markdown,approved,none,待执行,
jimeng-playwright-research.md,C:\Users\Administrator\jimeng-playwright-research.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\jimeng-playwright-research.md,markdown,approved,none,待执行,
local-tools-test-report.md,C:\Users\Administrator\local-tools-test-report.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\local-tools-test-report.md,markdown,approved,none,待执行,
temp-feishu-app-permissions.html,C:\Users\Administrator\temp-feishu-app-permissions.html,D:\Archive\web-captures\temp-feishu-app-permissions.html,html,approved,none,待执行,
temp-feishu-download.html,C:\Users\Administrator\temp-feishu-download.html,D:\Archive\web-captures\temp-feishu-download.html,html,approved,none,待执行,
temp-feishu-page-1.html,C:\Users\Administrator\temp-feishu-page-1.html,D:\Archive\web-captures\temp-feishu-page-1.html,html,approved,none,待执行,
temp-feishu-page-2.html,C:\Users\Administrator\temp-feishu-page-2.html,D:\Archive\web-captures\temp-feishu-page-2.html,html,approved,none,待执行,
temp-feishu-page-3.html,C:\Users\Administrator\temp-feishu-page-3.html,D:\Archive\web-captures\temp-feishu-page-3.html,html,approved,none,待执行,
temp-feishu-page-4.html,C:\Users\Administrator\temp-feishu-page-4.html,D:\Archive\web-captures\temp-feishu-page-4.html,html,approved,none,待执行,
temp-feishu-privacy.html,C:\Users\Administrator\temp-feishu-privacy.html,D:\Archive\web-captures\temp-feishu-privacy.html,html,approved,none,待执行,
temp-feishu-search-jsapi.html,C:\Users\Administrator\temp-feishu-search-jsapi.html,D:\Archive\web-captures\temp-feishu-search-jsapi.html,html,approved,none,待执行,
temp-lark-home.html,C:\Users\Administrator\temp-lark-home.html,D:\Archive\web-captures\temp-lark-home.html,html,approved,none,待执行,
temp-bing-h5support.html,C:\Users\Administrator\temp-bing-h5support.html,D:\Archive\web-captures\temp-bing-h5support.html,html,approved,none,待执行,
temp-bing.html,C:\Users\Administrator\temp-bing.html,D:\Archive\web-captures\temp-bing.html,html,approved,none,待执行,
adobe-davinci-automation-capabilities.json,C:\Users\Administrator\adobe-davinci-automation-capabilities.json,D:\Archive\research-data-2026\adobe-davinci-automation-capabilities.json,json-data,approved,none,待执行,
ai-video-api-top30.json,C:\Users\Administrator\ai-video-api-top30.json,D:\Archive\research-data-2026\ai-video-api-top30.json,json-data,approved,none,待执行,
video-editing-tools-scan.json,C:\Users\Administrator\video-editing-tools-scan.json,D:\Archive\research-data-2026\video-editing-tools-scan.json,json-data,approved,none,待执行,
video-editing-tools-scan.raw.json,C:\Users\Administrator\video-editing-tools-scan.raw.json,D:\Archive\research-data-2026\video-editing-tools-scan.raw.json,json-data,approved,none,待执行,6.5MB
video-plugins-scan.json,C:\Users\Administrator\video-plugins-scan.json,D:\Archive\research-data-2026\video-plugins-scan.json,json-data,approved,none,待执行,
ai-os-automation-flowchart.html,C:\Users\Administrator\Desktop\ai-os-automation-flowchart.html,D:\Archive\web-captures\ai-os-automation-flowchart.html,html,approved,none,待执行,桌面低风险
