name,source_path,target_path,file_type,reason_low_risk,needs_manual_confirm,status,notes
FEISHU_CONFIGURATION_SUMMARY.md,C:\Users\Administrator\FEISHU_CONFIGURATION_SUMMARY.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_FEATURES_RESEARCH.md,C:\Users\Administrator\FEISHU_FEATURES_RESEARCH.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_FILES_LIST.md,C:\Users\Administrator\FEISHU_FILES_LIST.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_IMPLEMENTATION_PLAN.md,C:\Users\Administrator\FEISHU_IMPLEMENTATION_PLAN.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,88KB 最大
FEISHU_INTEGRATION_ROADMAP.md,C:\Users\Administrator\FEISHU_INTEGRATION_ROADMAP.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_P0_FIXES.md,C:\Users\Administrator\FEISHU_P0_FIXES.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_P0_REVIEW_FINAL.md,C:\Users\Administrator\FEISHU_P0_REVIEW_FINAL.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_PHASE0_PRETASKS.md,C:\Users\Administrator\FEISHU_PHASE0_PRETASKS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_PHASE0_PRETASKS_STATUS.md,C:\Users\Administrator\FEISHU_PHASE0_PRETASKS_STATUS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_PLAN_REVIEW_CC.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CC.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_PLAN_REVIEW_CC_ROUND2.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CC_ROUND2.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_PLAN_REVIEW_CODEX.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CODEX.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_PLAN_REVIEW_FINAL.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_FINAL.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_ROUND3_ANSWERS.md,C:\Users\Administrator\FEISHU_ROUND3_ANSWERS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_ROUND3_QUESTIONS.md,C:\Users\Administrator\FEISHU_ROUND3_QUESTIONS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_ROUND4_ANSWERS.md,C:\Users\Administrator\FEISHU_ROUND4_ANSWERS.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_SIMPLE_REPORT.md,C:\Users\Administrator\FEISHU_SIMPLE_REPORT.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
FEISHU_USER_REQUIREMENTS_ROUND2.md,C:\Users\Administrator\FEISHU_USER_REQUIREMENTS_ROUND2.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,
飞书配置完成报告.md,C:\Users\Administrator\飞书配置完成报告.md,D:\AgentTeam-Workspace\Dev\notes\feishu-research\,markdown,纯研究文档 无依赖,no,拟归位,中文文件名
video-automation-10-questions.md,C:\Users\Administrator\video-automation-10-questions.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
video-automation-round2-questions.md,C:\Users\Administrator\video-automation-round2-questions.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
video-automation-round2-questions-v2.md,C:\Users\Administrator\video-automation-round2-questions-v2.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
video-automation-round3-questions.md,C:\Users\Administrator\video-automation-round3-questions.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
video-automation-round4-questions.md,C:\Users\Administrator\video-automation-round4-questions.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
video-automation-round4-questions-v2.md,C:\Users\Administrator\video-automation-round4-questions-v2.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
video-tools-test-report.md,C:\Users\Administrator\video-tools-test-report.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
viral-video-replication-research.md,C:\Users\Administrator\viral-video-replication-research.md,D:\AgentTeam-Workspace\Dev\notes\video-automation-research\,markdown,纯研究文档 无依赖,no,拟归位,
