name,current_path,ownership_type,owner_project,suggested_home,confidence,needs_manual_confirm,status,notes
FEISHU_CONFIGURATION_SUMMARY.md,C:\Users\Administrator\FEISHU_CONFIGURATION_SUMMARY.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_FEATURES_RESEARCH.md,C:\Users\Administrator\FEISHU_FEATURES_RESEARCH.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_FILES_LIST.md,C:\Users\Administrator\FEISHU_FILES_LIST.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_IMPLEMENTATION_PLAN.md,C:\Users\Administrator\FEISHU_IMPLEMENTATION_PLAN.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,88KB核心设计
FEISHU_INTEGRATION_ROADMAP.md,C:\Users\Administrator\FEISHU_INTEGRATION_ROADMAP.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_P0_FIXES.md,C:\Users\Administrator\FEISHU_P0_FIXES.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_P0_REVIEW_FINAL.md,C:\Users\Administrator\FEISHU_P0_REVIEW_FINAL.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PHASE0_PRETASKS.md,C:\Users\Administrator\FEISHU_PHASE0_PRETASKS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PHASE0_PRETASKS_STATUS.md,C:\Users\Administrator\FEISHU_PHASE0_PRETASKS_STATUS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_CC.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CC.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_CC_ROUND2.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CC_ROUND2.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_CODEX.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CODEX.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_CODEX_ROUND2.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_PLAN_REVIEW_FINAL.md,C:\Users\Administrator\FEISHU_PLAN_REVIEW_FINAL.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_ROUND3_ANSWERS.md,C:\Users\Administrator\FEISHU_ROUND3_ANSWERS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_ROUND3_QUESTIONS.md,C:\Users\Administrator\FEISHU_ROUND3_QUESTIONS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_ROUND4_ANSWERS.md,C:\Users\Administrator\FEISHU_ROUND4_ANSWERS.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_SIMPLE_REPORT.md,C:\Users\Administrator\FEISHU_SIMPLE_REPORT.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
FEISHU_USER_REQUIREMENTS_ROUND2.md,C:\Users\Administrator\FEISHU_USER_REQUIREMENTS_ROUND2.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
飞书配置完成报告.md,C:\Users\Administrator\飞书配置完成报告.md,project-owned,feishu-integration,D:\AgentTeam-Workspace\2026-03-09_openclaw-feishu-setup\docs\,high,no,已审计未执行,
